#vs30_ref=800,,,,,,,,,,,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.075),SA(0.1),SA(0.2),SA(0.3),SA(0.4),SA(0.5),SA(0.75),SA(1.0),SA(1.5),SA(2.0),SA(3.0),sigma_PGA,sigma_SA(0.075),sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.4),sigma_SA(0.5),sigma_SA(0.75),sigma_SA(1.0),sigma_SA(1.5),sigma_SA(2.0),sigma_SA(3.0)
TST,0.794328235,1.6008559535081546,0.9327806288500768,0.7625495015696734,0.8676444121916347,1.0201523055543482,1.3321275646228001,2.045463968402584,3.4819196702530015,4.918355415351996,6.594528715705241,6.824313421883762,3.4209748362782615,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,1.0,1.540730120212662,0.8724323822577236,0.7010500870630662,0.7848632106498605,0.9361764119579207,1.2419954928263375,1.9711481795329804,3.510869016623465,5.055737562524372,6.853414219288933,7.231228782517117,3.51697212848726,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,1.25892541,1.482862526483963,0.8159884953749097,0.6445105842347941,0.709980092149486,0.8591131636786815,1.1579617790910923,1.8995324319419584,3.5400590532616016,5.19695714100679,7.122462950358211,7.662407403980362,3.615663237210503,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,1.58489319,1.4271683555278158,0.7631963667031484,0.5925309769720999,0.6422415067033369,0.7883935316262862,1.0796138062104625,1.830518627017569,3.5694917816149747,5.342121341474186,7.402073895877242,8.119296043527577,3.7171237557055106,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,1.99526231,1.373565977234382,0.7138197383754518,0.5447435113764326,0.5809658012089469,0.7234953288766273,1.0065668762938733,1.7640122316146836,3.5991692191989797,5.491340345889467,7.692661700662387,8.60342771578163,3.8214313965106252,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,2.51188643,1.3219768260846663,0.6676376365326538,0.50081009164582,0.5255363570183612,0.6639393518037968,0.9384623184256232,1.6999221455300395,3.6290934010458136,5.644727417642497,7.994657294866144,9.116426857266198,3.928666055517718,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,3.16227766,1.2723252891087706,0.6244433852488556,0.4604198907912513,0.47539538839423345,0.6092858453954938,0.8749657317425733,1.6381605805768538,3.6592663780921177,5.802398978643018,8.308508515656271,9.660014747771678,4.0389098669628325,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,3.98107171,1.2245385918990894,0.5840436787463112,0.42328714880929724,0.4300383260389569,0.5591312524312563,0.8157653392648446,1.5786429364085257,3.6896902191270735,5.964474706901762,8.63468078941935,10.236015316407455,4.152247272778066,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,5.01187234,1.1785466942087164,0.5462577183060898,0.389149152832612,0.38900874199072427,0.5131052362188221,0.7605704599823787,1.5212876874481343,3.7203670095916648,6.131077620412404,8.973657808175078,10.84636123780008,4.268765082405845,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,6.30957344,1.134282185861055,0.5109164019156581,0.3577643772995477,0.35189375517603944,0.47086794451402164,0.7091100797656421,1.4660162694330447,3.7512988526098487,6.302334175205152,9.325942256223405,11.49310043322564,4.388552542562735,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,7.94328235,1.0916801879170739,0.47786156753587533,0.3289107752406046,0.3183198767135835,0.4321075001857404,0.6611315207234458,1.4127529717570744,3.7824878692434907,6.478374362140985,9.692056557492531,12.178402946296956,4.511701406165864,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,10.0,1.0506782596381097,0.44694528687702967,0.30238420868909094,0.28794925310474984,0.3965377002056305,0.6163992028319357,1.3614248363336006,3.8139361971312082,6.6593317970753,10.072543632584408,12.90456819113163,4.638305996662837,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,12.5892541,1.0112163046398377,0.41802920154098416,0.27799700278483774,0.2604762645001703,0.3638959001637827,0.5746934845289348,1.3119615547521442,3.8456459922852413,6.845343831467363,10.467967722866218,13.674032702707176,4.768463286708014,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
